id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51493971,Rental unit in Chicago · ★4.56 · 1 bedroom · 1 bed · 2 shared baths,410504785,Ray,,Bridgeport,41.84355,-87.63899,Private room,29,2,71,2023-06-01,3.15,9,36,43,
51965160,Home in Chicago · 5 bedrooms · 3 beds · 1.5 baths,418337049,Myra,,South Chicago,41.74765,-87.54737,Entire home/apt,200,32,0,,,10,364,0,R19000074717
51213515,Serviced apartment in Chicago · ★5.0 · 2 bedrooms · 3 beds · 1 bath,10779556,John,,Bridgeport,41.8386,-87.64725,Entire home/apt,286,1,3,2023-06-05,0.44,1,0,3,R22000087514
51214098,Rental unit in Chicago · ★5.0 · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,Near North Side,41.8925035,-87.61628259999999,Entire home/apt,128,32,3,2022-12-31,0.15,655,294,2,
51502365,Home in Chicago · ★4.91 · 3 bedrooms · 3 beds · 1 bath,121719854,Evolve,,East Garfield Park,41.87767,-87.71454,Entire home/apt,199,2,11,2023-05-22,0.54,39,322,7,R20000059435
51222496,Home in Chicago · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,327103193,Jorge,,Near West Side,41.86642,-87.68405,Private room,40,90,6,2021-12-03,0.26,14,80,0,
51974015,Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,Near West Side,41.8763,-87.65371999999999,Entire home/apt,274,32,1,2022-11-05,0.13,655,362,1,
51223205,Rental unit in Chicago · ★5.0 · 1 bedroom · 1 bed · 1 bath,70332680,Lina,,West Town,41.90842,-87.67053,Entire home/apt,196,3,6,2023-06-04,0.27,4,93,1,R21000069362
51981482,Condo in Chicago · ★4.91 · 1 bedroom · 3 beds · 1 bath,420979099,Cindy,,Lincoln Park,41.91516,-87.63496,Entire home/apt,116,1,66,2023-06-14,3.32,1,292,42,R22000078565
51519426,Rental unit in Chicago · ★4.89 · 1 bedroom · 1 bed · 1 bath,96730613,Demitri,,Lincoln Square,41.9645689022386,-87.68560054850212,Entire home/apt,145,2,106,2023-06-11,5.03,29,311,56,R21000071071
51231216,Home in Chicago · ★4.95 · 1 bedroom · 1 bed · 2 shared baths,2725609,Michele,,Greater Grand Crossing,41.75249,-87.60544,Private room,131,2,22,2023-06-10,1.01,1,311,10,
51519686,Rental unit in Chicago · 1 bedroom · 2 beds · 1 bath,111001763,Inka,,Grand Boulevard,41.8168,-87.61835,Entire home/apt,89,32,0,,,7,93,0,
51524274,Guesthouse in Chicago · ★4.52 · 2 bedrooms · 2 beds · 1 bath,173305205,Nicoll,,West Town,41.8978,-87.69428,Entire home/apt,107,32,25,2023-04-23,1.14,4,131,12,R19000043235
52005646,Rental unit in Chicago · ★4.90 · 2 bedrooms · 2 beds · 1 bath,421139789,Daisy,,Logan Square,41.918251,-87.687874,Entire home/apt,190,3,20,2023-06-12,1.10,1,98,13,R21000072718
52010962,Rental unit in Chicago · ★4.86 · 2 bedrooms · 2 beds · 2 baths,27902033,Maggie,,Bridgeport,41.83380994543248,-87.64606761653485,Entire home/apt,165,2,7,2023-06-04,1.24,1,113,7,R20000053671
51234939,Rental unit in Chicago · ★4.91 · Studio · 1 bed · 1 bath,88566861,Kasa,,Near North Side,41.89611,-87.62789,Entire home/apt,241,3,103,2023-06-09,4.49,18,294,61,2694638
52359485,Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,Edgewater,41.9846543,-87.66223590000001,Entire home/apt,116,32,0,,,655,365,0,
52021630,Townhouse in Chicago · ★4.95 · 2 bedrooms · 3 beds · 1.5 baths,102075356,Maria,,Forest Glen,41.99417,-87.74703,Entire home/apt,135,2,58,2023-06-13,2.73,1,298,32,R21000070962
51538489,Home in Chicago · ★New · 4 bedrooms · 4 beds · 2 baths,2049756,Seanna,,Hyde Park,41.798929666628915,-87.59109024165397,Entire home/apt,288,3,1,2023-06-04,1,1,129,1,R23000100292
51541102,Townhouse in Chicago · ★4.72 · 1 bedroom · 1 bed · 2 baths,10489437,Tom & Megan,,West Town,41.908188,-87.67218,Private room,195,1,18,2023-06-11,0.96,3,166,12,
52359621,Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,Edgewater,41.9846543,-87.66223590000001,Entire home/apt,119,32,0,,,655,320,0,
51550386,Rental unit in Chicago · Studio · 1 bed · 1 bath,107434423,Blueground,,Near South Side,41.86492479999999,-87.6246539,Entire home/apt,260,32,1,2023-01-08,0.19,655,251,1,
52024254,Rental unit in Chicago · ★4.79 · 2 bedrooms · 2 beds · 1 bath,141453495,Ricky,,South Lawndale,41.84847,-87.69672,Entire home/apt,94,2,42,2023-05-29,2.33,2,51,29,R21000070681
52372599,Rental unit in Chicago · ★4.86 · 3 bedrooms · 3 beds · 1 bath,55347882,George,,Washington Park,41.78733,-87.62529,Entire home/apt,104,3,14,2023-05-15,2.32,1,108,14,R22000092035
52042542,Loft in Chicago · ★4.98 · 4 bedrooms · 4 beds · 2 baths,19002255,Camila And Ken,,West Town,41.90975,-87.6759,Entire home/apt,579,2,48,2023-06-11,2.59,2,133,32,R22000091170
51550971,Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,81933723,Caroline,,Near West Side,41.8753,-87.65416,Entire home/apt,300,32,0,,,1,0,0,R22000085632
51551406,Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,Near South Side,41.86492479999999,-87.6246539,Entire home/apt,219,32,0,,,655,337,0,
52373436,Guest suite in Chicago · ★4.77 · 1 bedroom · 1 bed · 1 bath,86633308,Alexis,,Washington Heights,41.71068,-87.63583,Entire home/apt,79,1,39,2023-06-15,2.20,1,145,30,R21000073917
51552048,Rental unit in Chicago · ★4.88 · 3 bedrooms · 4 beds · 1 bath,9851063,Jason,,West Town,41.90254,-87.67437,Entire home/apt,227,2,25,2023-06-04,2.61,3,155,25,R21000064602
51552662,Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,Near South Side,41.86492479999999,-87.6246539,Entire home/apt,244,32,0,,,655,365,0,
51561068,Condo in Chicago · 2 bedrooms · 2 beds · 2 baths,49626538,Nyshel,,Near South Side,41.8646,-87.62512,Entire home/apt,280,180,0,,,1,0,0,
52052814,Rental unit in Chicago · ★4.69 · 1 bedroom · 1 bed · 1 bath,421400191,LaShon,,Kenwood,41.8036,-87.59502,Entire home/apt,110,1,68,2023-06-11,3.20,1,302,43,R21000070690
52053036,Condo in Chicago · ★4.88 · 2 bedrooms · 2 beds · 1 bath,260608221,Robert,,West Town,41.90594,-87.68237,Entire home/apt,400,2,17,2022-09-19,0.82,1,360,2,R21000070859
52374426,Condo in Chicago · ★5.0 · 2 bedrooms · 3 beds · 2 baths,14377218,Lorna,,Near North Side,41.89598,-87.62595,Entire home/apt,155,32,6,2023-03-27,0.34,1,200,4,
